game_id,play_id,type,frame,x,y,tracklet_id
19783001319551,6,teammate,72303,8.03047,17.5113,1
19783001319551,6,teammate,72304,7.54413,16.9897,1
19783001319551,6,teammate,72305,7.59509,16.7281,1
19783001319551,6,teammate,72306,7.78153,16.8508,1
19783001319551,6,teammate,72307,7.68895,16.7011,1
19783001319551,6,teammate,72308,7.83218,16.8656,1
19783001319551,6,teammate,72309,7.86664,17.4316,1
19783001319551,6,teammate,72310,8.0443,16.8787,1
19783001319551,6,teammate,72311,7.94423,17.1783,1
19783001319551,6,teammate,72312,7.75041,17.0873,1
19783001319551,6,teammate,72313,7.69759,16.7801,1
19783001319551,6,teammate,72314,7.87412,17.4651,1
19783001319551,6,teammate,72315,7.74119,16.8718,1
19783001319551,6,teammate,72316,7.85267,16.9263,1
19783001319551,6,teammate,72317,7.91768,17.6718,1
19783001319551,6,teammate,72318,7.511,17.0972,1
19783001319551,6,teammate,72319,7.07109,16.693,1
19783001319551,6,teammate,72320,7.26767,17.0791,1
19783001319551,6,teammate,72321,6.96696,17.3507,1
19783001319551,6,teammate,72322,6.6767,17.2532,1
19783001319551,6,teammate,72323,6.89189,17.5168,1
19783001319551,6,teammate,72324,6.91217,17.6011,1
19783001319551,6,teammate,72325,6.39515,17.9981,1
19783001319551,6,teammate,72326,6.72788,17.8831,1
19783001319551,6,teammate,72327,6.6289,17.6798,1
19783001319551,6,teammate,72328,6.48607,18.219,1
19783001319551,6,teammate,72329,6.62031,18.499,1
19783001319551,6,teammate,72330,6.52413,18.4811,1
19783001319551,6,teammate,72331,6.29868,18.3045,1
19783001319551,6,teammate,72332,6.4998,18.4999,1
19783001319551,6,teammate,72333,6.53381,18.5412,1
19783001319551,6,teammate,72334,6.25421,18.2494,1
19783001319551,6,teammate,72335,6.0573,18.8549,1
19783001319551,6,teammate,72336,6.23617,19.4195,1
19783001319551,6,teammate,72337,6.26039,19.5228,1
19783001319551,6,teammate,72338,6.57133,20.1859,1
19783001319551,6,teammate,72339,6.22651,20.5311,1
19783001319551,6,teammate,72340,5.88683,20.5152,1
19783001319551,6,teammate,72341,6.54874,21.4053,1
19783001319551,6,teammate,72342,6.72155,21.4035,1
19783001319551,6,teammate,72343,7.15978,22.1325,1
19783001319551,6,teammate,72344,7.24311,22.447,1
19783001319551,6,teammate,72345,7.479,22.7122,1
19783001319551,6,teammate,72346,7.30277,22.3433,1
19783001319551,6,teammate,72347,7.4719,22.7932,1
19783001319551,6,teammate,72348,7.79447,23.3364,1
19783001319551,6,teammate,72349,7.62579,22.9344,1
19783001319551,6,teammate,72350,7.80999,22.9959,1
19783001319551,6,teammate,72351,8.4784,23.8236,1
19783001319551,6,teammate,72352,8.9276,24.2734,1
19783001319551,6,teammate,72353,9.15378,24.7724,1
19783001319551,6,teammate,72354,9.42345,25.7185,1
19783001319551,6,teammate,72355,9.10009,25.7498,1
19783001319551,6,teammate,72356,9.65568,26.9883,1
19783001319551,6,teammate,72357,9.70491,26.7487,1
19783001319551,6,teammate,72358,9.72937,27.0822,1
19783001319551,6,teammate,72359,9.89918,27.0262,1
19783001319551,6,teammate,72360,10.1003,26.6745,1
19783001319551,6,teammate,72361,10.3204,26.7854,1
19783001319551,6,teammate,72362,10.4304,26.6593,1
19783001319551,6,teammate,72363,10.3291,27.0381,1
19783001319551,6,teammate,72364,10.4147,26.633,1
19783001319551,6,teammate,72365,10.0829,26.2232,1
19783001319551,6,teammate,72366,10.7721,26.8168,1
19783001319551,6,teammate,72367,10.7195,27.1447,1
19783001319551,6,teammate,72368,11.1236,27.5547,1
19783001319551,6,teammate,72369,10.9825,27.5966,1
19783001319551,6,teammate,72370,11.2742,27.8176,1
19783001319551,6,teammate,72371,11.189,27.7461,1
19783001319551,6,teammate,72372,11.1734,27.3517,1
19783001319551,6,teammate,72373,10.7481,27.0143,1
19783001319551,6,teammate,72374,10.3088,26.407,1
19783001319551,6,teammate,72375,10.2045,26.7209,1
19783001319551,6,teammate,72376,10.094,27.2868,1
19783001319551,6,teammate,72377,10.9242,29.5987,1
19783001319551,6,defender,72200,19.8242,42.9456,2
19783001319551,6,defender,72201,19.6139,43.0913,2
19783001319551,6,defender,72202,20.4876,43.8931,2
19783001319551,6,defender,72203,20.9545,44.2143,2
19783001319551,6,defender,72204,21.2598,44.8337,2
19783001319551,6,defender,72205,21.2257,44.811,2
19783001319551,6,defender,72206,21.6265,45.639,2
19783001319551,6,defender,72207,21.7372,46.1041,2
19783001319551,6,defender,72208,21.7879,46.626,2
19783001319551,6,defender,72209,22.212,47.1663,2
19783001319551,6,defender,72210,21.4032,46.154,2
19783001319551,6,defender,72211,21.29,46.1156,2
19783001319551,6,defender,72212,21.4812,47.0368,2
19783001319551,6,defender,72213,21.4426,46.5414,2
